task,subject_id,session,condition,accuracy,mean_rt
AF,0,1,con,88.88888888888889,707.3472222222222
AF,0,1,inc,87.5,781.0138888888889
AF,0,33,con,90.27777777777779,750.75
AF,0,33,inc,94.44444444444444,734.75
AF,1474,1,con,94.44444444444444,427.2916666666667
AF,1474,1,inc,91.66666666666666,539.1111111111111
AF,7000,1,con,95.83333333333334,536.2916666666666
AF,7000,1,inc,88.88888888888889,608.2777777777778
AF,7001,1,con,98.61111111111111,574.7916666666666
AF,7001,1,inc,97.22222222222221,630.9166666666666
AF,7002,1,con,98.61111111111111,727.6944444444445
AF,7002,1,inc,100.0,714.9305555555555
AF,7003,1,con,93.05555555555556,589.625
AF,7003,1,inc,95.83333333333334,663.6527777777778
AF,7004,1,con,100.0,574.7083333333334
AF,7004,1,inc,100.0,649.625
AF,7005,1,con,93.05555555555556,537.5138888888889
AF,7005,1,inc,84.72222222222221,575.3333333333334
AF,7006,1,con,91.66666666666666,420.0
AF,7006,1,inc,95.83333333333334,491.30555555555554
AF,7007,1,con,94.44444444444444,722.5
AF,7007,1,inc,95.83333333333334,724.6944444444445
AF,7008,1,con,95.83333333333334,684.2222222222222
AF,7008,1,inc,95.83333333333334,733.1388888888889
AF,7009,1,con,97.22222222222221,544.5277777777778
AF,7009,1,inc,100.0,565.5138888888889
AF,7010,1,con,98.61111111111111,539.4305555555555
AF,7010,1,inc,98.61111111111111,639.3611111111111
AF,7012,1,con,98.61111111111111,621.2222222222222
AF,7012,1,inc,100.0,636.1388888888889
AF,7014,1,con,93.05555555555556,778.3333333333334
AF,7014,1,inc,94.44444444444444,758.8194444444445
AF,7015,1,con,95.83333333333334,543.5
AF,7015,1,inc,98.61111111111111,579.6666666666666
AF,7016,1,con,98.61111111111111,631.0694444444445
AF,7016,1,inc,98.61111111111111,645.9722222222222
AF,7017,1,con,93.05555555555556,723.4166666666666
AF,7017,1,inc,97.22222222222221,717.0694444444445
AF,7018,1,con,90.27777777777779,489.81944444444446
AF,7018,1,inc,86.11111111111111,552.6666666666666
AF,7019,1,con,88.88888888888889,558.5416666666666
AF,7019,1,inc,88.88888888888889,580.8888888888889
AF,7020,1,con,93.05555555555556,443.84722222222223
AF,7020,1,inc,98.61111111111111,456.15277777777777
AF,7021,1,con,100.0,609.1944444444445
AF,7021,1,inc,100.0,649.5277777777778
AF,7022,1,con,100.0,849.2083333333334
AF,7022,1,inc,100.0,856.3333333333334
AF,7023,1,con,100.0,709.3055555555555
AF,7023,1,inc,100.0,729.1527777777778
AF,7024,1,con,100.0,592.5833333333334
AF,7024,1,inc,100.0,689.0833333333334
AF,7025,1,con,93.05555555555556,406.30555555555554
AF,7025,1,inc,94.44444444444444,482.84722222222223
AF,7026,1,con,95.83333333333334,623.2638888888889
AF,7026,1,inc,97.22222222222221,625.4583333333334
AF,7027,1,con,90.27777777777779,674.5972222222222
AF,7027,1,inc,87.5,728.8611111111111
AF,7028,1,con,94.44444444444444,777.5416666666666
AF,7028,1,inc,97.22222222222221,742.9444444444445
AF,7029,1,con,94.44444444444444,588.1388888888889
AF,7029,1,inc,97.22222222222221,610.9027777777778
AF,7030,1,con,100.0,771.9583333333334
AF,7030,1,inc,100.0,789.9444444444445
AF,7031,1,con,97.22222222222221,633.9305555555555
AF,7031,1,inc,100.0,607.9027777777778
AF,7032,1,con,94.44444444444444,826.0
AF,7032,1,inc,97.22222222222221,896.1666666666666
AF,7033,1,con,90.27777777777779,622.6388888888889
AF,7033,1,inc,91.66666666666666,687.2777777777778
AF,7034,1,con,98.61111111111111,427.93055555555554
AF,7034,1,inc,95.83333333333334,445.3611111111111
AF,7035,1,con,97.22222222222221,552.3333333333334
AF,7035,1,inc,100.0,591.375
AF,7037,1,con,76.38888888888889,809.6111111111111
AF,7037,1,inc,61.111111111111114,874.2916666666666
AF,7039,1,con,95.83333333333334,696.7777777777778
AF,7039,1,inc,97.22222222222221,713.3194444444445
AF,7040,1,con,90.27777777777779,531.5138888888889
AF,7040,1,inc,94.44444444444444,599.5833333333334
AF,7041,1,con,95.83333333333334,609.4583333333334
AF,7041,1,inc,93.05555555555556,621.9027777777778
AF,7042,1,con,95.83333333333334,868.3333333333334
AF,7042,1,inc,95.83333333333334,820.25
AF,7043,1,con,94.44444444444444,753.1666666666666
AF,7043,1,inc,98.61111111111111,771.9861111111111
AF,7044,1,con,91.66666666666666,495.59722222222223
AF,7044,1,inc,97.22222222222221,610.3611111111111
AF,7045,1,con,95.83333333333334,680.5277777777778
AF,7045,1,inc,97.22222222222221,733.8888888888889
AF,7046,1,con,86.11111111111111,446.72222222222223
AF,7046,1,inc,80.55555555555556,486.9166666666667
AF,7047,1,con,91.25,677.9375
AF,7047,1,inc,93.75,600.5
