task,subject_id,session,condition,accuracy
FN,8039,2.0,1,91.35802469135803
FN,8060,1.0,1,93.82716049382715
FN,8060,1.0,2,88.88888888888889
FN,8047,2.0,1,83.9506172839506
FN,8011,3.0,1,86.41975308641975
FN,8038,2.0,1,92.5925925925926
FN,8046,2.0,1,72.8395061728395
FN,8023,2.0,1,86.41975308641975
FN,8037,2.0,1,85.18518518518519
FN,9009,3.0,1,87.65432098765432
FN,8054,2.0,1,83.9506172839506
FN,9024,2.0,1,81.48148148148148
FN,9024,2.0,2,77.77777777777779
FN,8051,2.0,1,85.18518518518519
FN,8035,3.0,1,90.12345679012346
FN,8026,3.0,1,59.25925925925925
FN,9023,2.0,1,92.5925925925926
FN,8067,1.0,1,86.41975308641975
FN,8067,1.0,2,88.88888888888889
FN,9031,1.0,1,87.65432098765432
FN,8064,1.0,1,79.01234567901234
FN,8064,1.0,2,88.88888888888889
FN,8068,1.0,1,82.71604938271605
FN,9015,3.0,1,83.9506172839506
FN,8009,2.0,1,85.18518518518519
FN,8018,3.0,1,80.24691358024691
FN,9999,,1,70.37037037037037
FN,9999,,2,77.77777777777779
FN,8058,2.0,1,85.18518518518519
FN,8058,2.0,2,88.88888888888889
FN,8053,,1,88.88888888888889
FN,7176,1.0,1,77.77777777777779
FN,7176,1.0,2,55.55555555555556
FN,7186,1.0,1,86.41975308641975
FN,7188,1.0,1,83.9506172839506
FN,7197,1.0,1,82.71604938271605
FN,7197,1.0,2,77.77777777777779
FN,7201,1.0,1,76.5432098765432
FN,7201,1.0,2,77.77777777777779
FN,7181,1.0,1,83.9506172839506
FN,7215,1.0,1,90.12345679012346
FN,7055,1.0,1,85.18518518518519
FN,7208,1.0,1,76.5432098765432
FN,7208,1.0,2,100.0
FN,7214,1.0,1,87.65432098765432
FN,7219,1.0,1,81.48148148148148
FN,7199,1.0,1,88.88888888888889
FN,7171,1.0,1,90.12345679012346
FN,7223,1.0,1,82.71604938271605
FN,7700,1.0,1,90.12345679012346
FN,7701,1.0,1,76.5432098765432
FN,7701,1.0,2,66.66666666666666
FN,7703,1.0,1,85.18518518518519
FN,7703,1.0,2,66.66666666666666
FN,7231,1.0,1,82.71604938271605
FN,7231,1.0,2,88.88888888888889
FN,7238,1.0,1,86.41975308641975
FN,7233,1.0,1,85.18518518518519
FN,7233,1.0,2,88.88888888888889
FN,9005,3.0,1,82.71604938271605
FN,8053,2.0,1,83.9506172839506
FN,8053,2.0,2,88.88888888888889
FN,8040,2.0,1,87.65432098765432
FN,8050,2.0,1,93.82716049382715
FN,8019,3.0,1,90.12345679012346
FN,8009,1.0,1,83.9506172839506
FN,8009,1.0,2,66.66666666666666
FN,9010,2.0,1,82.71604938271605
FN,9019,2.0,1,95.06172839506173
FN,9017,2.0,1,91.35802469135803
FN,8036,1.0,1,85.18518518518519
FN,8016,3.0,1,93.82716049382715
FN,8014,3.0,1,91.35802469135803
FN,8014,3.0,2,100.0
FN,9013,3.0,1,90.12345679012346
FN,8048,2.0,1,93.82716049382715
FN,8060,2.0,1,90.12345679012346
FN,8060,2.0,2,100.0
FN,8070,1.0,1,96.29629629629629
FN,8074,1.0,1,93.82716049382715
FN,8069,1.0,1,85.18518518518519
FN,8075,1.0,1,80.24691358024691
FN,8075,1.0,2,66.66666666666666
FN,9033,1.0,1,25.925925925925924
FN,9033,1.0,2,22.22222222222222
FN,8039,3.0,1,88.88888888888889
FN,8073,,1,86.41975308641975
FN,8073,,2,66.66666666666666
FN,9029,1.0,1,87.65432098765432
FN,7177,1.0,1,87.65432098765432
FN,7177,1.0,2,100.0
FN,7192,1.0,1,88.88888888888889
FN,7191,1.0,1,83.9506172839506
FN,7191,1.0,2,88.88888888888889
FN,7183,1.0,1,80.24691358024691
FN,7183,1.0,2,88.88888888888889
FN,7190,1.0,1,85.18518518518519
FN,7194,1.0,1,83.9506172839506
FN,7203,1.0,1,83.9506172839506
FN,7206,1.0,1,80.24691358024691
FN,7206,1.0,2,100.0
FN,7207,1.0,1,87.65432098765432
FN,7216,1.0,1,83.9506172839506
FN,7216,1.0,2,88.88888888888889
FN,7212,1.0,1,81.48148148148148
FN,7212,1.0,2,88.88888888888889
FN,7195,1.0,1,81.48148148148148
FN,7213,1.0,1,88.88888888888889
FN,7225,1.0,1,86.41975308641975
FN,7225,1.0,2,88.88888888888889
FN,7220,1.0,1,79.01234567901234
FN,7220,1.0,2,100.0
FN,7702,1.0,1,83.9506172839506
FN,7702,1.0,2,77.77777777777779
FN,7222,1.0,1,82.71604938271605
FN,7222,1.0,2,66.66666666666666
FN,7222,1.0,3,88.88888888888889
FN,7704,,1,85.18518518518519
FN,7234,1.0,1,91.35802469135803
FN,9023,1.0,1,93.82716049382715
FN,9023,1.0,2,88.88888888888889
FN,9024,1.0,1,81.48148148148148
FN,9015,2.0,1,85.18518518518519
FN,8020,3.0,1,87.65432098765432
FN,8020,3.0,2,88.88888888888889
FN,8061,1.0,1,85.18518518518519
FN,8031,3.0,1,83.9506172839506
FN,8017,3.0,1,95.06172839506173
FN,8036,2.0,1,80.24691358024691
FN,8032,2.0,1,88.88888888888889
FN,8052,2.0,1,83.9506172839506
FN,8022,3.0,1,86.41975308641975
FN,8030,3.0,1,85.18518518518519
FN,9021,2.0,1,86.41975308641975
FN,8058,1.0,1,79.01234567901234
FN,8058,1.0,2,88.88888888888889
FN,8065,1.0,1,86.41975308641975
FN,8012,3.0,1,86.41975308641975
FN,8056,2.0,1,85.18518518518519
FN,9028,1.0,1,80.24691358024691
FN,9034,1.0,1,87.65432098765432
FN,9034,1.0,2,66.66666666666666
FN,8047,3.0,1,90.12345679012346
FN,8023,3.0,1,88.88888888888889
FN,8072,1.0,1,74.07407407407408
FN,9999,1.0,1,85.18518518518519
FN,8063,2.0,1,82.71604938271605
FN,8076,1.0,1,85.18518518518519
FN,7182,1.0,1,76.5432098765432
FN,7182,1.0,2,88.88888888888889
FN,7198,1.0,1,76.5432098765432
FN,7198,1.0,2,77.77777777777779
FN,7173,1.0,1,75.30864197530865
FN,7187,1.0,1,88.88888888888889
FN,7196,1.0,1,79.01234567901234
FN,7200,1.0,1,88.88888888888889
FN,7211,1.0,1,83.9506172839506
FN,7209,1.0,1,82.71604938271605
FN,7204,1.0,1,80.24691358024691
FN,7218,1.0,1,82.71604938271605
FN,7221,1.0,1,95.06172839506173
FN,7202,1.0,1,90.12345679012346
FN,7226,1.0,1,92.5925925925926
FN,7227,1.0,1,88.88888888888889
FN,7205,1.0,1,79.01234567901234
FN,7205,1.0,2,55.55555555555556
FN,7230,1.0,1,85.18518518518519
FN,7230,1.0,2,44.44444444444444
FN,7235,1.0,1,85.18518518518519
SM,8039,2.0,1,82.95454545454545
SM,8060,1.0,1,86.36363636363636
SM,8047,2.0,1,84.0909090909091
SM,8011,3.0,1,82.95454545454545
SM,8038,2.0,1,76.13636363636364
SM,8046,2.0,1,89.77272727272727
SM,8023,2.0,1,68.18181818181817
SM,8037,2.0,1,76.13636363636364
SM,9009,3.0,1,88.63636363636364
SM,8054,2.0,1,79.54545454545455
SM,9024,2.0,1,55.68181818181818
SM,9024,2.0,2,75.0
SM,8051,2.0,1,70.45454545454545
SM,8035,3.0,1,81.81818181818183
SM,8026,3.0,1,85.22727272727273
SM,9023,2.0,1,77.27272727272727
SM,9023,2.0,2,100.0
SM,8067,1.0,1,68.18181818181817
SM,9031,1.0,1,62.5
SM,8064,1.0,1,72.72727272727273
