task,subject_id,session,condition,count_correct
DSST,1474,1,0,1
DSST,1474,1,1,44
DSST,7000,1,0,1
DSST,7000,1,1,41
DSST,7001,1,0,1
DSST,7001,1,1,57
DSST,7002,1,0,1
DSST,7002,1,1,50
DSST,7003,1,0,1
DSST,7003,1,1,56
DSST,7004,1,0,1
DSST,7004,1,1,52
DSST,7005,1,0,1
DSST,7005,1,1,57
DSST,7006,1,0,1
DSST,7006,1,1,54
DSST,7007,1,0,1
DSST,7007,1,1,56
DSST,7008,1,0,1
DSST,7008,1,1,46
DSST,7009,1,0,1
DSST,7009,1,1,50
DSST,7010,1,0,1
DSST,7010,1,1,60
DSST,7012,1,0,1
DSST,7012,1,1,56
DSST,7013,1,0,1
DSST,7013,1,1,59
DSST,7014,1,0,1
DSST,7014,1,1,47
DSST,7015,1,0,1
DSST,7015,1,1,51
DSST,7016,1,0,1
DSST,7016,1,1,47
DSST,7017,1,0,1
DSST,7017,1,1,54
DSST,7018,1,0,1
DSST,7018,1,1,58
DSST,7019,1,0,1
DSST,7019,1,1,56
DSST,7020,1,0,1
DSST,7020,1,1,54
DSST,7021,1,0,1
DSST,7021,1,1,53
DSST,7022,1,0,1
DSST,7022,1,1,49
DSST,7023,1,0,1
DSST,7023,1,1,54
DSST,7024,1,0,1
DSST,7024,1,1,57
DSST,7025,1,0,1
DSST,7025,1,1,60
DSST,7026,1,0,1
DSST,7026,1,1,67
DSST,7027,1,0,1
DSST,7027,1,1,49
DSST,7028,1,0,1
DSST,7028,1,1,51
DSST,7029,1,0,1
DSST,7029,1,1,52
DSST,7030,1,0,1
DSST,7030,1,1,53
DSST,7031,1,0,1
DSST,7031,1,0,1
DSST,7031,1,1,56
DSST,7031,1,1,56
DSST,7032,1,0,1
DSST,7032,1,1,49
DSST,7033,1,0,1
DSST,7033,1,1,55
DSST,7034,1,0,1
DSST,7034,1,1,63
DSST,7035,1,0,1
DSST,7035,1,1,52
DSST,7037,1,0,1
DSST,7037,1,1,32
DSST,7039,1,0,1
DSST,7039,1,1,46
DSST,7040,1,0,1
DSST,7040,1,1,66
DSST,7041,1,0,1
DSST,7041,1,1,45
DSST,7042,1,0,1
DSST,7042,1,1,54
DSST,7043,1,0,1
DSST,7043,1,1,53
DSST,7044,1,0,1
DSST,7044,1,1,52
DSST,7045,1,0,1
DSST,7045,1,1,44
DSST,7046,1,0,1
DSST,7046,1,1,57
DSST,7047,1,0,1
DSST,7047,1,1,53
DSST,7048,1,0,1
DSST,7048,1,1,52
DSST,7049,1,0,1
DSST,7049,1,1,55
DSST,7050,1,0,1
DSST,7050,1,1,56
DSST,7052,1,0,1
DSST,7052,1,1,48
DSST,7053,1,0,1
DSST,7053,1,1,63
DSST,7054,1,0,1
DSST,7054,1,1,59
DSST,7055,1,0,1
DSST,7055,1,1,45
DSST,7056,1,0,1
DSST,7056,1,1,54
DSST,7057,1,0,1
DSST,7057,1,1,43
DSST,7058,1,0,1
DSST,7058,1,1,53
DSST,7059,1,0,1
DSST,7059,1,1,63
DSST,7061,1,0,1
DSST,7061,1,1,63
DSST,7062,1,0,1
DSST,7062,1,1,48
DSST,7063,1,0,1
DSST,7063,1,1,52
DSST,7064,1,0,1
DSST,7064,1,1,34
DSST,7065,1,0,1
DSST,7065,1,1,53
DSST,7067,1,0,1
DSST,7067,1,1,44
DSST,7068,1,0,1
DSST,7068,1,1,45
DSST,7069,1,0,1
DSST,7069,1,1,53
DSST,7070,1,0,1
DSST,7070,1,1,46
DSST,7072,1,0,1
DSST,7072,1,1,63
DSST,7073,1,0,1
DSST,7073,1,1,48
DSST,7075,1,0,1
DSST,7075,1,1,52
DSST,7076,1,0,1
DSST,7076,1,1,61
DSST,7077,1,0,1
DSST,7077,1,1,52
DSST,7078,1,0,1
DSST,7078,1,1,52
DSST,7079,1,0,1
DSST,7079,1,1,49
DSST,7080,1,0,1
DSST,7080,1,1,63
DSST,7082,1,0,1
DSST,7082,1,1,53
DSST,7083,1,0,1
DSST,7083,1,1,65
DSST,7084,1,0,1
DSST,7084,1,1,58
DSST,7085,1,0,1
DSST,7085,1,1,53
DSST,7086,1,0,1
DSST,7086,1,1,50
DSST,7087,1,0,1
DSST,7087,1,1,57
DSST,7088,1,0,1
DSST,7088,1,1,50
DSST,7089,1,0,1
DSST,7089,1,1,60
DSST,7090,1,0,1
DSST,7090,1,1,50
DSST,7091,1,0,1
DSST,7091,1,1,42
DSST,7092,1,0,1
DSST,7092,1,1,50
DSST,7093,1,0,1
DSST,7093,1,1,60
DSST,7094,1,0,1
DSST,7094,1,1,52
DSST,7096,1,0,1
DSST,7096,1,1,46
DSST,7097,1,0,1
DSST,7097,1,1,55
DSST,7098,1,0,1
DSST,7098,1,1,50
DSST,7099,1,0,1
DSST,7099,1,1,68
DSST,7102,1,0,1
DSST,7102,1,1,43
DSST,7103,1,0,1
DSST,7103,1,1,49
DSST,7104,1,0,1
DSST,7104,1,1,46
DSST,7105,1,0,1
DSST,7105,1,1,56
DSST,7106,1,0,1
DSST,7106,1,1,52
DSST,7107,1,0,1
DSST,7107,1,1,56
DSST,7108,1,0,1
DSST,7108,1,1,59
DSST,7109,1,0,1
DSST,7109,1,1,50
DSST,7110,1,0,1
DSST,7110,1,1,58
DSST,7111,1,0,1
DSST,7111,1,1,48
DSST,7112,1,0,1
DSST,7112,1,1,45
DSST,7113,1,0,1
DSST,7113,1,1,49
DSST,7114,1,0,1
DSST,7114,1,1,46
DSST,7115,1,0,1
DSST,7115,1,1,51
DSST,7116,1,0,1
DSST,7116,1,1,53
DSST,7117,1,0,1
DSST,7117,1,1,36
DSST,7118,1,0,1
DSST,7118,1,1,51
DSST,7120,1,0,1
DSST,7120,1,1,50
DSST,7123,1,0,1
DSST,7123,1,1,54
DSST,7124,1,0,1
DSST,7124,1,1,45
DSST,7126,1,0,1
DSST,7126,1,1,53
DSST,7128,1,0,1
DSST,7128,1,1,50
DSST,7129,1,0,1
DSST,7129,1,1,49
DSST,7130,1,0,1
DSST,7130,1,1,50
DSST,7131,1,0,1
DSST,7131,1,1,50
DSST,7132,1,0,1
DSST,7132,1,1,60
DSST,7133,1,0,1
DSST,7133,1,1,48
DSST,7134,1,0,1
DSST,7134,1,1,58
DSST,7136,1,0,1
DSST,7136,1,1,48
DSST,7137,1,0,1
DSST,7137,1,1,52
DSST,7138,1,0,1
DSST,7138,1,1,47
DSST,7139,1,0,1
DSST,7139,1,1,54
DSST,7140,1,0,1
DSST,7140,1,1,55
DSST,7141,1,0,1
DSST,7141,1,1,43
DSST,7142,1,0,1
DSST,7142,1,1,57
DSST,7145,1,0,1
DSST,7145,1,1,65
DSST,7146,1,0,1
DSST,7146,1,1,57
DSST,7147,1,0,1
DSST,7147,1,1,56
DSST,7150,1,0,1
DSST,7150,1,1,43
DSST,7151,1,0,1
DSST,7151,1,1,53
DSST,7152,1,0,1
DSST,7152,1,1,61
DSST,7153,1,0,1
DSST,7153,1,1,46
DSST,7155,1,0,1
DSST,7155,1,1,41
DSST,7156,1,0,1
DSST,7156,1,1,55
DSST,7157,1,0,1
DSST,7157,1,1,53
DSST,7158,1,0,1
DSST,7158,1,1,66
DSST,7159,1,0,1
DSST,7159,1,1,58
DSST,7160,1,0,1
DSST,7160,1,1,47
DSST,7161,1,0,1
DSST,7161,1,1,46
DSST,7164,1,0,1
DSST,7164,1,1,50
DSST,7165,1,0,1
DSST,7165,1,1,48
DSST,7166,1,0,1
DSST,7166,1,1,50
DSST,7167,1,0,1
DSST,7167,1,1,53
DSST,7168,1,0,1
DSST,7168,1,1,43
DSST,7170,1,0,1
DSST,7170,1,1,46
DSST,7171,1,0,1
DSST,7171,1,1,67
DSST,7172,1,0,1
DSST,7172,1,1,48
DSST,7173,1,0,1
DSST,7173,1,1,46
DSST,7174,1,0,1
DSST,7174,1,1,44
DSST,7175,1,0,1
DSST,7175,1,1,54
DSST,7176,1,0,1
DSST,7176,1,1,45
DSST,7177,1,0,1
DSST,7177,1,1,40
DSST,7178,1,0,1
DSST,7178,1,1,52
DSST,7180,1,0,1
DSST,7180,1,1,58
DSST,7181,1,0,1
DSST,7181,1,1,54
DSST,7182,1,0,1
DSST,7182,1,1,53
DSST,7183,1,0,1
DSST,7183,1,1,54
DSST,7186,1,0,1
DSST,7186,1,1,52
DSST,7187,1,0,1
DSST,7187,1,1,56
DSST,7188,1,0,1
DSST,7188,1,1,44
DSST,7189,1,0,1
DSST,7189,1,1,55
DSST,7190,1,0,1
DSST,7190,1,1,57
DSST,7191,1,0,1
DSST,7191,1,1,57
DSST,7192,1,0,1
DSST,7192,1,1,67
DSST,7194,1,0,1
DSST,7194,1,1,55
DSST,7195,1,0,1
DSST,7195,1,1,58
DSST,7196,1,0,1
DSST,7196,1,1,40
DSST,7197,1,0,1
DSST,7197,1,1,58
DSST,7199,1,0,1
DSST,7199,1,1,42
DSST,7200,1,0,1
DSST,7200,1,1,53
DSST,7201,1,0,1
DSST,7201,1,1,45
DSST,7202,1,0,1
DSST,7202,1,1,55
DSST,7203,1,0,1
DSST,7203,1,1,55
DSST,7204,1,0,1
DSST,7204,1,1,57
DSST,7205,1,0,1
DSST,7205,1,1,43
DSST,7206,1,0,1
DSST,7206,1,1,54
DSST,7207,1,0,1
DSST,7207,1,1,57
DSST,7208,1,0,1
DSST,7208,1,1,46
DSST,7209,1,0,1
DSST,7209,1,1,56
DSST,7211,1,0,1
DSST,7211,1,1,49
DSST,7212,1,0,1
DSST,7212,1,1,51
DSST,7213,1,0,1
DSST,7213,1,1,54
DSST,7214,1,0,1
DSST,7214,1,1,55
DSST,7215,1,0,1
DSST,7215,1,1,50
DSST,7216,1,0,1
DSST,7216,1,1,43
DSST,7218,1,0,1
DSST,7218,1,1,34
DSST,7219,1,0,1
DSST,7219,1,1,50
DSST,7220,1,0,1
DSST,7220,1,1,37
DSST,7221,1,0,1
DSST,7221,1,1,46
DSST,7222,1,0,1
DSST,7222,1,1,46
DSST,7223,1,0,1
DSST,7223,1,1,44
DSST,7225,1,0,1
DSST,7225,1,1,51
DSST,7226,1,0,1
DSST,7226,1,1,65
DSST,7227,1,0,1
DSST,7227,1,1,70
DSST,7229,1,0,1
DSST,7229,1,1,65
DSST,7230,1,0,1
DSST,7230,1,1,46
DSST,7231,1,0,1
DSST,7231,1,1,51
DSST,7232,1,0,1
DSST,7232,1,1,55
DSST,7233,1,0,1
DSST,7233,1,1,49
DSST,7234,1,0,1
DSST,7234,1,1,57
DSST,7235,1,0,1
DSST,7235,1,1,55
DSST,7238,1,0,1
DSST,7238,1,1,51
DSST,7239,1,0,1
DSST,7239,1,1,53
DSST,7240,nan,0,1
DSST,7240,nan,1,57
DSST,7241,1,0,1
DSST,7241,1,1,44
DSST,7242,1,0,1
DSST,7242,1,1,52
DSST,7243,1,0,1
DSST,7243,1,1,52
DSST,7246,nan,0,1
DSST,7246,nan,1,56
DSST,7248,1,0,1
DSST,7248,1,1,53
DSST,7249,1,0,1
DSST,7249,1,1,57
DSST,7250,1,0,1
DSST,7250,1,1,56
DSST,7251,1,0,1
DSST,7251,1,1,56
DSST,7252,1,0,1
DSST,7252,1,1,61
DSST,7254,1,0,1
DSST,7254,1,1,75
DSST,7255,1,0,1
DSST,7255,1,1,46
DSST,7700,1,0,1
DSST,7700,1,1,48
DSST,7701,1,0,1
DSST,7701,1,1,46
DSST,7702,1,0,1
DSST,7702,1,1,37
DSST,7703,1,0,1
DSST,7703,1,1,42
DSST,7704,nan,0,1
DSST,7704,nan,1,42
DSST,7705,1,0,1
DSST,7705,1,1,52
DSST,7706,1,0,1
DSST,7706,1,1,42
DSST,7707,1,0,1
DSST,7707,1,1,44
DSST,7708,1,0,1
DSST,7708,1,1,42
DSST,7709,1,0,1
DSST,7709,1,1,41
DSST,7710,1,0,1
DSST,7710,1,1,33
DSST,7712,1,0,1
DSST,7712,1,1,42
DSST,7713,nan,0,1
DSST,7713,nan,1,41
DSST,7714,1,0,1
DSST,7714,1,1,42
DSST,7716,1,0,1
DSST,7716,1,1,46
DSST,7717,nan,0,1
DSST,7717,nan,1,48
DSST,7718,1,0,1
DSST,7718,1,1,51
DSST,7721,nan,0,1
DSST,7721,nan,1,41
DSST,7722,1,0,1
DSST,7722,1,1,38
DSST,7723,nan,0,1
DSST,7723,nan,1,39
DSST,7724,1,0,1
DSST,7724,1,1,45
DSST,7726,1,0,1
DSST,7726,1,1,42
DSST,7727,1,0,1
DSST,7727,1,1,43
DSST,7728,1,0,1
DSST,7728,1,1,42
DSST,7729,1,0,1
DSST,7729,1,1,40
DSST,7729,1,2,9
DSST,7730,1,0,1
DSST,7730,1,1,48
DSST,7732,1,0,1
DSST,7732,1,1,44
DSST,7733,1,0,1
DSST,7733,1,1,38
DSST,7734,1,0,1
DSST,7734,1,1,43
DSST,7736,1,0,1
DSST,7736,1,1,45
DSST,7738,1,0,1
DSST,7738,1,1,41
DSST,7742,1,0,1
DSST,7742,1,1,37
DSST,7743,1,0,1
DSST,7743,1,1,36
DSST,7744,1,0,1
DSST,7744,1,1,51
DSST,7745,1,0,1
DSST,7745,1,1,35
DSST,8000,1,0,1
DSST,8000,1,1,47
DSST,8000,2,0,1
DSST,8000,2,1,45
DSST,8000,3,0,1
DSST,8000,3,1,45
DSST,8001,1,0,1
DSST,8001,1,1,50
DSST,8002,1,0,1
DSST,8002,1,1,57
DSST,8002,2,0,1
DSST,8002,2,1,58
DSST,8002,3,0,1
DSST,8002,3,1,54
DSST,8003,1,0,1
DSST,8003,1,1,52
DSST,8003,2,0,1
DSST,8003,2,1,52
DSST,8003,3,0,1
DSST,8003,3,1,49
DSST,8004,1,0,1
DSST,8004,1,1,50
DSST,8004,2,0,1
DSST,8004,2,1,50
DSST,8004,3,0,1
DSST,8004,3,1,50
DSST,8005,1,0,1
DSST,8005,1,1,66
DSST,8005,2,0,1
DSST,8005,2,1,63
DSST,8005,3,0,1
DSST,8005,3,1,69
DSST,8006,1,0,1
DSST,8006,1,0,1
DSST,8006,1,1,59
DSST,8006,1,1,59
DSST,8006,2,0,1
DSST,8006,2,0,1
DSST,8006,2,1,60
DSST,8006,2,1,60
DSST,8008,1,0,1
DSST,8008,1,1,45
DSST,8008,2,0,1
DSST,8008,2,1,46
DSST,8008,3,0,1
DSST,8008,3,1,50
DSST,8009,1,0,1
DSST,8009,1,1,58
DSST,8009,2,0,1
DSST,8009,2,1,56
DSST,8011,1,0,1
DSST,8011,1,1,61
DSST,8011,2,0,1
DSST,8011,2,1,63
DSST,8011,3,0,1
DSST,8011,3,1,69
DSST,8012,1,0,1
DSST,8012,1,0,1
DSST,8012,1,1,64
DSST,8012,1,1,64
DSST,8012,2,0,1
DSST,8012,2,1,63
DSST,8012,3,0,1
DSST,8012,3,1,64
DSST,8014,1,0,1
DSST,8014,1,1,53
DSST,8014,2,0,1
DSST,8014,2,1,54
DSST,8014,3,0,1
DSST,8014,3,1,57
DSST,8015,1,0,1
DSST,8015,1,1,53
DSST,8016,1,0,1
DSST,8016,1,1,48
DSST,8016,2,0,1
DSST,8016,2,1,52
DSST,8016,3,0,1
DSST,8016,3,1,51
DSST,8017,1,0,1
DSST,8017,1,1,58
DSST,8017,2,0,1
DSST,8017,2,1,58
DSST,8017,3,0,1
DSST,8017,3,1,60
DSST,8018,1,0,1
DSST,8018,1,1,42
DSST,8018,2,0,1
DSST,8018,2,1,42
DSST,8018,3,0,1
DSST,8018,3,1,42
DSST,8019,1,0,1
DSST,8019,1,1,54
DSST,8019,2,0,1
DSST,8019,2,1,55
DSST,8019,3,0,1
DSST,8019,3,1,56
DSST,8020,1,0,1
DSST,8020,1,1,48
DSST,8020,2,0,1
DSST,8020,2,1,45
DSST,8020,3,0,1
DSST,8020,3,1,46
DSST,8021,1,0,1
DSST,8021,1,1,50
DSST,8021,2,0,1
DSST,8021,2,1,46
DSST,8022,1,0,1
DSST,8022,1,1,51
DSST,8022,2,0,1
DSST,8022,2,1,53
DSST,8022,3,0,1
DSST,8022,3,1,55
DSST,8023,1,0,1
DSST,8023,1,1,51
DSST,8023,2,0,1
DSST,8023,2,1,53
DSST,8023,nan,0,1
DSST,8023,nan,1,53
DSST,8024,1,0,1
DSST,8024,1,1,46
DSST,8024,2,0,1
DSST,8024,2,1,51
DSST,8026,1,0,1
DSST,8026,1,1,53
DSST,8026,2,0,1
DSST,8026,2,1,58
DSST,8026,3,0,1
DSST,8026,3,1,61
DSST,8027,2,0,1
DSST,8027,2,1,48
DSST,8030,1,0,1
DSST,8030,1,1,45
DSST,8030,2,0,1
DSST,8030,2,1,47
DSST,8030,3,0,1
DSST,8030,3,1,48
DSST,8031,1,0,1
DSST,8031,1,1,51
DSST,8031,2,0,1
DSST,8031,2,1,53
DSST,8031,3,0,1
DSST,8031,3,1,52
DSST,8032,1,0,1
DSST,8032,1,1,53
DSST,8032,2,0,1
DSST,8032,2,1,56
DSST,8032,3,0,1
DSST,8032,3,1,56
DSST,8034,1,0,1
DSST,8034,1,1,53
DSST,8035,1,0,1
DSST,8035,1,1,50
DSST,8035,2,0,1
DSST,8035,2,1,51
DSST,8035,3,0,1
DSST,8035,3,1,53
DSST,8036,2,0,1
DSST,8036,2,1,38
DSST,8036,3,0,1
DSST,8036,3,1,37
DSST,8037,1,0,1
DSST,8037,1,1,49
DSST,8037,2,0,1
DSST,8037,2,1,50
DSST,8037,3,0,1
DSST,8037,3,1,54
DSST,8038,1,0,1
DSST,8038,1,1,49
DSST,8038,2,0,1
DSST,8038,2,1,50
DSST,8038,3,0,1
DSST,8038,3,1,54
DSST,8039,1,0,1
DSST,8039,1,1,58
DSST,8039,2,0,1
