task,subject_id,session,condition,accuracy
AF,8052,1,inc,94.44444444444444
AF,8052,1,con,95.83333333333334
AF,9019,1,inc,98.61111111111111
AF,9019,1,con,100.0
AF,8027,2,inc,97.22222222222221
AF,8027,2,con,97.22222222222221
AF,9018,1,inc,97.22222222222221
AF,9018,1,con,100.0
AF,8048,1,inc,91.66666666666666
AF,8048,1,con,90.27777777777779
AF,8056,1,con,91.66666666666666
AF,8056,1,inc,93.05555555555556
AF,8039,2,inc,95.83333333333334
AF,8039,2,con,90.27777777777779
AF,8060,1,inc,91.66666666666666
AF,8060,1,con,88.88888888888889
AF,8047,2,con,100.0
AF,8047,2,inc,98.61111111111111
AF,8011,3,con,98.61111111111111
AF,8011,3,inc,97.22222222222221
AF,8038,2,inc,98.61111111111111
AF,8038,2,con,97.22222222222221
AF,8046,2,inc,91.66666666666666
AF,8046,2,con,88.88888888888889
AF,8023,2,inc,98.61111111111111
AF,8023,2,con,100.0
AF,8037,2,inc,100.0
AF,8037,2,con,98.61111111111111
AF,9009,3,con,98.61111111111111
AF,9009,3,inc,98.61111111111111
AF,8054,2,con,81.94444444444444
AF,8054,2,inc,70.83333333333334
AF,9024,2,con,77.5
AF,9024,2,inc,85.0
AF,8051,2,inc,86.11111111111111
AF,8051,2,con,80.55555555555556
AF,8035,3,con,95.83333333333334
AF,8035,3,inc,94.44444444444444
AF,7136,1,inc,94.44444444444444
AF,7136,1,con,93.05555555555556
AF,7158,1,inc,97.22222222222221
AF,7158,1,con,95.83333333333334
AF,7159,1,inc,100.0
AF,7159,1,con,97.22222222222221
AF,7166,1,inc,94.44444444444444
AF,7166,1,con,94.44444444444444
AF,7170,1,inc,98.61111111111111
AF,7170,1,con,100.0
AF,7175,1,con,100.0
AF,7175,1,inc,95.83333333333334
AF,7176,1,inc,97.22222222222221
AF,7176,1,con,95.83333333333334
AF,7186,1,inc,97.22222222222221
AF,7186,1,con,94.44444444444444
AF,7188,1,con,91.66666666666666
AF,7188,1,inc,91.66666666666666
AF,7197,1,con,90.27777777777779
AF,7197,1,inc,88.88888888888889
AF,7201,1,con,98.61111111111111
AF,7201,1,inc,100.0
AF,7181,1,con,98.61111111111111
AF,7181,1,inc,95.83333333333334
AF,7215,1,inc,88.88888888888889
AF,7215,1,con,87.5
AF,7055,1,inc,94.44444444444444
AF,7055,1,con,95.83333333333334
AF,7208,1,con,95.83333333333334
AF,7208,1,inc,98.61111111111111
AF,7214,1,con,97.22222222222221
AF,7214,1,inc,98.61111111111111
AF,7219,1,inc,93.05555555555556
AF,7219,1,con,91.66666666666666
AF,7199,1,con,87.5
AF,7199,1,inc,83.75
AF,7171,1,con,98.61111111111111
AF,7171,1,inc,98.61111111111111
AF,7223,1,con,90.27777777777779
AF,7223,1,inc,95.83333333333334
AF,7700,1,inc,93.05555555555556
AF,7700,1,con,98.61111111111111
AF,8032,1,inc,100.0
AF,8032,1,con,91.66666666666666
AF,8021,2,con,94.44444444444444
AF,8021,2,inc,94.44444444444444
AF,9020,1,inc,93.05555555555556
AF,9020,1,con,97.22222222222221
AF,8003,3,inc,97.22222222222221
AF,8003,3,con,95.83333333333334
AF,8035,2,inc,90.27777777777779
AF,8035,2,con,93.05555555555556
AF,8051,1,con,94.44444444444444
AF,8051,1,inc,94.44444444444444
AF,9021,1,inc,84.72222222222221
AF,9021,1,con,94.44444444444444
AF,9005,3,inc,95.83333333333334
AF,9005,3,con,98.61111111111111
AF,8053,2,inc,97.22222222222221
AF,8053,2,con,97.22222222222221
AF,8040,2,con,95.83333333333334
AF,8040,2,inc,97.22222222222221
AF,8050,2,inc,100.0
AF,8050,2,con,98.61111111111111
AF,8019,3,con,97.22222222222221
AF,8019,3,inc,95.83333333333334
AF,8009,1,inc,86.11111111111111
AF,8009,1,con,93.05555555555556
AF,9010,2,con,93.05555555555556
AF,9010,2,inc,97.22222222222221
AF,9019,2,inc,97.22222222222221
AF,9019,2,con,93.05555555555556
AF,9017,2,inc,93.05555555555556
AF,9017,2,con,95.83333333333334
AF,8063,1,con,91.66666666666666
AF,8063,1,inc,93.05555555555556
AF,8016,3,con,95.83333333333334
AF,8016,3,inc,100.0
AF,8014,3,con,98.61111111111111
AF,8014,3,inc,97.22222222222221
AF,9013,3,con,95.83333333333334
AF,9013,3,inc,98.61111111111111
AF,8048,2,inc,98.61111111111111
AF,8048,2,con,93.05555555555556
AF,8060,2,con,98.61111111111111
AF,8060,2,inc,98.61111111111111
AF,7150,1,con,95.83333333333334
AF,7150,1,inc,91.66666666666666
AF,7156,1,con,95.83333333333334
AF,7156,1,inc,100.0
AF,7165,1,inc,98.61111111111111
AF,7165,1,con,97.22222222222221
AF,7164,1,con,98.61111111111111
AF,7164,1,inc,98.61111111111111
AF,7172,1,inc,97.22222222222221
AF,7172,1,con,88.88888888888889
AF,7147,1,inc,97.22222222222221
AF,7147,1,con,94.44444444444444
AF,7174,1,inc,78.75
AF,7174,1,con,77.5
AF,7180,1,con,94.44444444444444
AF,7180,1,inc,97.22222222222221
AF,7177,1,inc,94.44444444444444
AF,7177,1,con,98.61111111111111
AF,7192,1,inc,98.61111111111111
AF,7192,1,con,93.05555555555556
AF,7191,1,con,100.0
AF,7191,1,inc,98.61111111111111
AF,7183,1,con,94.44444444444444
AF,7183,1,inc,95.83333333333334
AF,7190,1,con,93.05555555555556
AF,7190,1,inc,90.27777777777779
AF,7194,1,inc,98.61111111111111
AF,7194,1,con,98.61111111111111
AF,7203,1,inc,98.61111111111111
AF,7203,1,con,94.44444444444444
AF,7206,1,inc,98.61111111111111
AF,7206,1,con,98.61111111111111
AF,7207,1,con,93.05555555555556
AF,7207,1,inc,95.83333333333334
AF,7216,1,con,93.75
AF,7216,1,inc,91.25
AF,7212,1,inc,97.22222222222221
AF,7212,1,con,97.22222222222221
AF,7195,1,con,94.44444444444444
AF,7195,1,inc,91.66666666666666
AF,7213,1,inc,100.0
AF,7213,1,con,97.22222222222221
AF,8005,3,con,95.83333333333334
AF,8005,3,inc,94.44444444444444
AF,8026,2,con,98.61111111111111
AF,8026,2,inc,98.61111111111111
AF,8046,1,inc,93.05555555555556
AF,8046,1,con,93.05555555555556
AF,8024,2,con,81.94444444444444
AF,8024,2,inc,81.94444444444444
AF,8054,1,inc,87.5
AF,8054,1,con,90.27777777777779
AF,8053,1,inc,93.05555555555556
AF,8053,1,con,90.27777777777779
AF,9013,2,inc,98.61111111111111
AF,9013,2,con,98.61111111111111
AF,9023,1,con,91.66666666666666
AF,9023,1,inc,94.44444444444444
AF,0,33,con,90.27777777777779
AF,0,33,inc,94.44444444444444
AF,9024,1,con,77.5
AF,9024,1,inc,86.25
AF,9015,2,inc,98.61111111111111
AF,9015,2,con,97.22222222222221
AF,8020,3,inc,95.83333333333334
AF,8020,3,con,97.22222222222221
AF,8061,1,inc,98.61111111111111
AF,8061,1,con,94.44444444444444
AF,8031,3,inc,94.44444444444444
AF,8031,3,con,91.66666666666666
AF,8017,3,inc,98.61111111111111
AF,8017,3,con,94.44444444444444
AF,8036,2,inc,94.44444444444444
AF,8036,2,con,93.05555555555556
AF,8032,2,inc,95.83333333333334
AF,8032,2,con,94.44444444444444
AF,8052,2,inc,93.05555555555556
AF,8052,2,con,94.44444444444444
AF,8022,3,inc,97.22222222222221
AF,8022,3,con,97.22222222222221
AF,8030,3,con,98.61111111111111
AF,8030,3,inc,100.0
AF,9021,2,con,93.05555555555556
AF,9021,2,inc,95.83333333333334
AF,8058,1,inc,97.22222222222221
AF,8058,1,con,93.05555555555556
AF,8065,1,inc,98.61111111111111
AF,8065,1,con,90.27777777777779
AF,8012,3,inc,98.61111111111111
AF,8012,3,con,98.61111111111111
AF,8056,2,inc,90.27777777777779
AF,8056,2,con,91.66666666666666
AF,7152,1,inc,87.5
AF,7152,1,con,93.05555555555556
AF,7155,1,con,90.27777777777779
AF,7155,1,inc,95.83333333333334
AF,7160,1,con,94.44444444444444
AF,7160,1,inc,95.83333333333334
AF,7161,1,con,94.44444444444444
AF,7161,1,inc,95.83333333333334
AF,7168,1,inc,87.5
AF,7168,1,con,90.27777777777779
AF,7167,1,con,88.75
AF,7167,1,inc,88.75
AF,7178,1,inc,98.61111111111111
AF,7178,1,con,97.22222222222221
AF,7182,1,inc,94.44444444444444
AF,7182,1,con,98.61111111111111
AF,7189,1,inc,94.44444444444444
AF,7189,1,con,90.27777777777779
AF,7173,1,inc,94.44444444444444
AF,7173,1,con,94.44444444444444
AF,7187,1,inc,97.22222222222221
AF,7187,1,con,97.22222222222221
AF,7196,1,inc,94.44444444444444
AF,7196,1,con,94.44444444444444
AF,7200,1,con,100.0
AF,7200,1,inc,98.61111111111111
AF,7211,1,inc,95.83333333333334
AF,7211,1,con,94.44444444444444
AF,7209,1,inc,95.83333333333334
AF,7209,1,con,97.22222222222221
AF,7204,1,con,97.22222222222221
AF,7204,1,inc,98.61111111111111
AF,7218,1,inc,52.5
AF,7218,1,con,61.25000000000001
AF,7221,1,inc,95.83333333333334
AF,7221,1,con,91.66666666666666
AF,7202,1,con,97.22222222222221
AF,7202,1,inc,95.83333333333334
NF,8005,3,inc,95.83333333333334
NF,8005,3,con,90.27777777777779
NF,8026,2,con,94.44444444444444
NF,8026,2,inc,97.22222222222221
NF,8046,1,inc,91.66666666666666
NF,8046,1,con,97.22222222222221
NF,8024,2,inc,77.77777777777779
NF,8024,2,con,83.33333333333334
NF,8054,1,con,93.05555555555556
NF,8054,1,inc,91.66666666666666
NF,8053,1,inc,97.22222222222221
NF,8053,1,con,100.0
NF,9013,2,inc,100.0
NF,9013,2,con,98.61111111111111
NF,9023,1,con,88.88888888888889
NF,9023,1,inc,90.27777777777779
NF,9024,1,inc,87.5
NF,9024,1,con,91.25
NF,9015,2,inc,100.0
NF,9015,2,con,100.0
NF,8020,3,con,98.61111111111111
NF,8020,3,inc,94.44444444444444
NF,8061,1,inc,97.22222222222221
NF,8061,1,con,98.61111111111111
NF,8031,3,inc,98.61111111111111
NF,8031,3,con,94.44444444444444
NF,8017,3,con,97.22222222222221
NF,8017,3,inc,100.0
NF,8036,2,inc,94.44444444444444
NF,8036,2,con,94.44444444444444
NF,8032,2,con,98.61111111111111
NF,8032,2,inc,97.22222222222221
NF,8052,2,con,95.83333333333334
NF,8052,2,inc,100.0
NF,8022,3,con,94.44444444444444
NF,8022,3,inc,98.61111111111111
NF,8030,3,con,100.0
NF,8030,3,inc,100.0
NF,9021,2,con,90.27777777777779
NF,9021,2,inc,90.27777777777779
NF,8058,1,inc,91.66666666666666
NF,8058,1,con,90.27777777777779
NF,8065,1,con,97.22222222222221
NF,8065,1,inc,98.61111111111111
NF,8012,3,con,98.61111111111111
NF,8012,3,inc,98.61111111111111
NF,8056,2,con,95.83333333333334
NF,8056,2,inc,94.44444444444444
NF,8052,1,inc,95.83333333333334
NF,8052,1,con,95.83333333333334
NF,9019,1,inc,98.61111111111111
NF,9019,1,con,98.61111111111111
NF,8027,2,con,100.0
NF,8027,2,inc,98.61111111111111
NF,9018,1,inc,98.61111111111111
NF,9018,1,con,97.22222222222221
NF,8048,1,con,91.66666666666666
NF,8048,1,inc,98.61111111111111
NF,8056,1,con,91.66666666666666
NF,8056,1,inc,94.44444444444444
NF,00,33,inc,98.61111111111111
NF,00,33,con,98.61111111111111
NF,8039,2,inc,100.0
NF,8039,2,con,94.44444444444444
NF,8060,1,inc,98.61111111111111
NF,8060,1,con,98.61111111111111
NF,8047,2,con,97.22222222222221
NF,8047,2,inc,100.0
NF,8011,3,con,97.22222222222221
NF,8011,3,inc,98.61111111111111
NF,8038,2,inc,97.22222222222221
NF,8038,2,con,94.44444444444444
NF,8046,2,inc,88.88888888888889
NF,8046,2,con,95.83333333333334
NF,8023,2,con,98.61111111111111
NF,8023,2,inc,100.0
NF,8037,2,con,95.83333333333334
NF,8037,2,inc,95.83333333333334
NF,9009,3,inc,97.22222222222221
NF,9009,3,con,98.61111111111111
NF,8054,2,con,91.66666666666666
NF,8054,2,inc,98.61111111111111
NF,9024,2,con,93.05555555555556
NF,9024,2,inc,94.44444444444444
NF,8051,2,inc,88.88888888888889
NF,8051,2,con,93.05555555555556
NF,8035,3,con,98.61111111111111
NF,8035,3,inc,97.22222222222221
NF,8032,1,con,93.05555555555556
NF,8032,1,inc,95.83333333333334
NF,8021,2,inc,100.0
NF,8021,2,con,98.61111111111111
NF,9020,,con,96.25
NF,9020,,inc,86.25
NF,8003,3,con,97.22222222222221
NF,8003,3,inc,94.44444444444444
